,SubjectId,chestbreadth,bicristalbreadth
0,10037,274,263
1,10038,261,250
2,10042,287,276
3,10043,269,276
4,10051,305,336
5,10053,285,283
6,10061,278,284
7,10070,294,310
8,10077,236,238
9,10080,292,291
10,10095,297,274
11,10101,304,295
12,10105,298,296
13,10111,293,284
14,10121,280,279
15,10127,275,283
16,10129,270,271
17,10131,261,256
18,10136,296,270
19,10138,270,261
20,10149,308,306
21,10158,287,278
22,10173,244,249
23,10175,296,305
24,10196,276,269
25,10210,294,280
26,10222,266,250
27,11394,255,278
28,11395,308,297
29,11396,263,269
30,11397,273,299
31,11404,273,270
32,11405,284,311
33,11407,304,298
34,11410,312,347
35,11510,274,278
36,11513,272,268
37,11519,242,248
38,11523,299,317
39,11525,274,284
40,11528,282,326
41,11529,294,285
42,11530,270,281
43,11533,301,297
44,11537,281,299
45,11593,288,304
46,11742,283,271
47,11767,277,288
48,11771,274,274
49,11773,264,244
50,11782,271,284
51,11783,313,362
52,11785,310,325
53,11802,305,290
54,11803,291,288
55,11811,294,289
56,11814,256,255
57,11815,276,270
58,11818,268,290
59,11821,269,282
60,11823,266,259
61,11828,300,330
62,11915,269,278
63,11916,312,314
64,11922,272,283
65,11923,278,281
66,11990,287,270
67,11991,275,255
68,11992,312,285
69,11993,264,265
70,11996,247,242
71,12036,257,254
72,12037,265,291
73,12040,276,283
74,12067,299,289
75,12071,276,278
76,12076,294,275
77,12081,293,286
78,12082,314,300
79,12087,277,271
80,12347,312,325
81,12469,315,299
82,12491,274,294
83,12703,265,283
84,12706,281,332
85,12708,233,260
86,12874,299,301
87,12881,260,265
88,12883,274,244
89,12901,242,236
90,12976,257,329
91,13010,262,271
92,13013,270,318
93,13019,234,237
94,13020,298,300
95,13027,276,262
96,13036,270,269
97,13064,308,322
98,13141,279,295
99,13144,249,250
100,13147,296,259
101,13151,283,267
102,13156,264,274
103,13163,302,272
104,13165,270,294
105,13170,236,248
106,13171,267,250
107,13179,297,284
108,13181,252,282
109,13268,274,293
110,13273,267,300
111,13274,253,252
112,13275,270,246
113,13284,282,286
114,13288,299,299
115,13290,270,282
116,13297,292,318
117,13357,297,274
118,13360,266,294
119,13369,276,267
120,13370,284,303
121,13371,249,239
122,13386,275,271
123,13393,295,285
124,13397,246,235
125,13413,278,279
126,13437,270,286
127,13441,259,258
128,13451,266,253
129,13456,260,240
130,13459,255,261
131,13464,286,288
132,13466,270,270
133,13472,260,268
134,13473,278,283
135,13475,242,281
136,13477,254,272
137,13478,283,284
138,13480,293,279
139,13485,265,287
140,13486,295,299
141,13530,245,250
142,13535,264,255
143,13537,248,271
144,13538,258,255
145,13540,257,241
146,13542,307,297
147,13546,256,253
148,13547,253,284
149,13555,250,233
150,13558,268,234
151,13562,257,261
152,13603,262,255
153,13605,282,274
154,13607,236,259
155,13610,262,288
156,13614,256,316
157,13615,273,263
158,13616,243,262
159,13617,239,248
160,13619,287,305
161,13622,279,282
162,13626,267,272
163,13702,260,273
164,13704,263,258
165,13731,255,255
166,13732,272,263
167,13733,246,276
168,13734,265,251
169,13735,245,283
170,13737,295,274
171,13738,283,300
172,13739,254,282
173,13740,254,257
174,13741,267,291
175,13743,311,278
176,13751,304,296
177,13752,270,258
178,13889,286,289
179,13891,279,284
180,13892,238,256
181,13893,245,241
182,13894,318,286
183,13896,286,267
184,13897,261,260
185,13898,291,284
186,13899,263,266
187,13900,276,303
188,13920,280,302
189,13923,264,314
190,14049,275,278
191,14050,264,275
192,14052,250,270
193,14053,276,307
194,14055,271,258
195,14058,266,261
196,14060,252,254
197,14111,265,273
198,14117,265,260
199,14118,303,299
200,14119,280,288
201,14121,274,264
202,14122,256,269
203,14124,265,268
204,14125,272,280
205,14126,240,232
206,14127,284,257
207,14128,268,282
208,14136,300,300
209,14137,262,303
210,14138,247,242
211,14179,252,243
212,14181,269,245
213,14182,279,264
214,14185,268,274
215,14186,277,270
216,14187,247,255
217,14188,240,214
218,14189,272,281
219,14190,279,309
220,14191,264,279
221,14193,239,249
222,14194,276,254
